_date,total_views,unique_views
2022-12-05,5,2
2022-12-13,1,1
2022-12-14,3,1
2023-01-09,14,3
2023-02-24,2,1
2023-03-02,1,1
2023-03-10,2,1
2023-03-17,3,1
2023-05-17,1,1
2023-06-19,6,3
2023-06-20,6,1
2023-06-21,2,2
2023-06-22,2,2
2023-06-26,1,1
2023-06-28,3,3
2023-06-30,4,1
2023-07-05,12,1
2023-07-18,1,1
2023-07-23,2,2
2023-07-25,1,1
2023-08-02,2,1
2023-08-03,1,1
2023-08-04,1,1
2023-08-17,12,2
2023-08-25,9,3
2023-08-29,1,1
2023-09-08,5,2
2023-10-03,4,4
2023-10-09,1,1
2023-10-13,1,1
2023-10-15,2,1
2023-10-20,1,1
2023-10-23,1,1
2023-10-31,1,1
2023-11-02,2,1
2023-11-09,1,1
2023-11-12,12,1
2023-11-29,1,1
2023-12-06,3,1
2023-12-15,1,1
2024-01-03,1,1
2024-01-25,3,1
2024-01-26,3,2
2024-01-27,34,1
2024-01-28,1,1
2024-01-29,23,1
2024-02-01,2,2
2024-02-04,4,1
2024-02-05,24,1
2024-02-06,9,2
2024-02-07,109,3
2024-02-09,69,1
2024-02-10,15,3
2024-02-11,13,1
2024-02-12,23,2
2024-02-13,8,1
2024-02-14,4,2
2024-02-16,1,1
